country,year,continent,lifeExp
Afghanistan,1952,Asia,28.801
Afghanistan,1957,Asia,30.332
Afghanistan,1962,Asia,31.997
Afghanistan,1967,Asia,34.02
Afghanistan,1972,Asia,36.088
Afghanistan,1977,Asia,38.438
Afghanistan,1982,Asia,39.854
Afghanistan,1987,Asia,40.822
Afghanistan,1992,Asia,41.674
Afghanistan,1997,Asia,41.763
Afghanistan,2002,Asia,42.129
Afghanistan,2007,Asia,43.828
Albania,1952,Europe,55.23
Albania,1957,Europe,59.28
Albania,1962,Europe,64.82
Albania,1967,Europe,66.22
Albania,1972,Europe,67.69
Albania,1977,Europe,68.93
Albania,1982,Europe,70.42
Albania,1987,Europe,72
Albania,1992,Europe,71.581
Albania,1997,Europe,72.95
Albania,2002,Europe,75.651
Albania,2007,Europe,76.423
Algeria,1952,Africa,43.077
Algeria,1957,Africa,45.685
Algeria,1962,Africa,48.303
Algeria,1967,Africa,51.407
Algeria,1972,Africa,54.518
Algeria,1977,Africa,58.014
Algeria,1982,Africa,61.368
Algeria,1987,Africa,65.799
Algeria,1992,Africa,67.744
Algeria,1997,Africa,69.152
Algeria,2002,Africa,70.994
Algeria,2007,Africa,72.301
Angola,1952,Africa,30.015
Angola,1957,Africa,31.999
Angola,1962,Africa,34
Angola,1967,Africa,35.985
Angola,1972,Africa,37.928
Angola,1977,Africa,39.483
Angola,1982,Africa,39.942
Angola,1987,Africa,39.906
Angola,1992,Africa,40.647
Angola,1997,Africa,40.963
Angola,2002,Africa,41.003
Angola,2007,Africa,42.731
Argentina,1952,Americas,62.485
Argentina,1957,Americas,64.399
Argentina,1962,Americas,65.142
Argentina,1967,Americas,65.634
Argentina,1972,Americas,67.065
Argentina,1977,Americas,68.481
Argentina,1982,Americas,69.942
Argentina,1987,Americas,70.774
Argentina,1992,Americas,71.868
Argentina,1997,Americas,73.275
Argentina,2002,Americas,74.34
Argentina,2007,Americas,75.32
Australia,1952,Oceania,69.12
Australia,1957,Oceania,70.33
Australia,1962,Oceania,70.93
Australia,1967,Oceania,71.1
Australia,1972,Oceania,71.93
Australia,1977,Oceania,73.49
Australia,1982,Oceania,74.74
Australia,1987,Oceania,76.32
Australia,1992,Oceania,77.56
Australia,1997,Oceania,78.83
Australia,2002,Oceania,80.37
Australia,2007,Oceania,81.235
Austria,1952,Europe,66.8
Austria,1957,Europe,67.48
Austria,1962,Europe,69.54
Austria,1967,Europe,70.14
Austria,1972,Europe,70.63
Austria,1977,Europe,72.17
Austria,1982,Europe,73.18
Austria,1987,Europe,74.94
Austria,1992,Europe,76.04
Austria,1997,Europe,77.51
